calendar_quarter,area_level,area_name,age_group,median,lower,upper
CY2003Q2,0,Malawi,30-34,0.22962505695492003,0.22080914451470438,0.23885941635905547
CY2003Q2,0,Malawi,35-39,0.17166621177782077,0.1639249393846801,0.1797350931334349
CY2003Q2,0,Malawi,40-44,0.09915541929765043,0.09297453155104447,0.10564121667494851
CY2003Q2,0,Malawi,45-49,0.04104245565504072,0.036491180413765464,0.04567280555348649
CY2004Q2,0,Malawi,15-19,0.1806770971657032,0.1738016577688232,0.18765057930469933
CY2004Q2,0,Malawi,20-24,0.30221071232095187,0.29243250923373243,0.31177255960338957
CY2004Q2,0,Malawi,25-29,0.2777549906484773,0.26823297173178884,0.2871481430909284
CY2004Q2,0,Malawi,30-34,0.23759000351299653,0.2282932102444919,0.24693156306045067
CY2004Q2,0,Malawi,35-39,0.1785493689879889,0.1704963009045667,0.18701081574193162
CY2004Q2,0,Malawi,40-44,0.10137943300939725,0.09522258147949297,0.10756750885560351
CY2004Q2,0,Malawi,45-49,0.041397073004140986,0.03685497201324607,0.046107519432641283
CY2005Q2,0,Malawi,15-19,0.1703152512225004,0.1632882925706025,0.1775755857447669
CY2005Q2,0,Malawi,20-24,0.28201152697695286,0.27185871276339785,0.2925130796754429
CY2005Q2,0,Malawi,25-29,0.2563271101985217,0.24648491962318736,0.26629754445469517
CY2005Q2,0,Malawi,30-34,0.21912013170850492,0.20984601232487454,0.22862222671291677
CY2005Q2,0,Malawi,35-39,0.16529872621985228,0.15659500600548432,0.17375514377424123
CY2005Q2,0,Malawi,40-44,0.09258952344222135,0.0864847109400652,0.09889453033832683
CY2005Q2,0,Malawi,45-49,0.03789272245045801,0.03354580799883983,0.04243644716710536
CY2006Q2,0,Malawi,15-19,0.159007997867946,0.15288524902558626,0.16529119417703664
CY2006Q2,0,Malawi,20-24,0.26093587253536177,0.25201266903022795,0.27033399379456663
CY2006Q2,0,Malawi,25-29,0.23735140694185186,0.22834796280283123,0.24620580549820845
CY2006Q2,0,Malawi,30-34,0.20424052137707255,0.1958622027695961,0.21257699024472276
CY2006Q2,0,Malawi,35-39,0.15570916817684533,0.14845719543263064,0.163180827310077
CY2006Q2,0,Malawi,40-44,0.08732018142007736,0.08173182381486656,0.09293826802273207
